Variable,Grouping 1,Grouping 2,Base vs Marketing
Actual,Dependent,Dependent,Dependent
Predicted,,EXCLUDE,EXCLUDE
Category - Can.Volume Sales - Drug,Category,Category,Base
Category - Can.Volume Sales - Food,Category,Category,Base
SNACKS.PR Impressions,PR,PR,Marketing
PRIVATE LABEL - CAN.Base Price (USE),Base Price,Competitive Base Price,Competition
SNACKS - CANS.Base Price (Volume),Base Price,Base Price,Base
SNACKS - CANS.Base Price (Volume) - Drug,Base Price,Base Price,Base
SNACKS - CANS.Base Price (Volume) - Food,Base Price,Base Price,Base
SNACKS.Digital Coupon Circulation,In Store,Digital Coupons,Marketing
SNACKS.Digital Display Impressions,Digital,Display,Marketing
SNACKS - CANS.Quad Week %ACV _v3 - Drug,Distribution,Distribution,Base
SNACKS - CANS.Quad Week %ACV _v3 - Food,Distribution,Distribution,Base
SNACKS - CANS.Total FSIs,In Store,FSIs,Marketing
Constant.Intercept,Intercept,Intercept,Base
"Blue Diamond.Market Dummy v2.Atlanta, GA - Food",Intercept,Intercept,Base
"Blue Diamond.Market Dummy v2.Baltimore, MD/Washington D.C. - Food",Intercept,Intercept,Base
"Blue Diamond.Market Dummy v2.Birmingham/Montgomery, AL - Food",Intercept,Intercept,Base
"Blue Diamond.Market Dummy v2.Boise, ID - Food",Intercept,Intercept,Base
"Blue Diamond.Market Dummy v2.Boston, MA - Food",Intercept,Intercept,Base
"Blue Diamond.Market Dummy v2.Buffalo/Rochester, NY - Food",Intercept,Intercept,Base
Blue Diamond.Market Dummy v2.California - IRI Standard - Drug,Intercept,Intercept,Base
"Blue Diamond.Market Dummy v2.Charlotte, NC - Food",Intercept,Intercept,Base
"Blue Diamond.Market Dummy v2.Chicago, IL - Food",Intercept,Intercept,Base
"Blue Diamond.Market Dummy v2.Cincinnati/Dayton, OH - Food",Intercept,Intercept,Base
"Blue Diamond.Market Dummy v2.Cleveland, OH - Food",Intercept,Intercept,Base
"Blue Diamond.Market Dummy v2.Columbus, OH - Food",Intercept,Intercept,Base
"Blue Diamond.Market Dummy v2.Dallas/Ft. Worth, TX - Food",Intercept,Intercept,Base
"Blue Diamond.Market Dummy v2.Denver, CO - Food",Intercept,Intercept,Base
"Blue Diamond.Market Dummy v2.Des Moines, IA - Food",Intercept,Intercept,Base
"Blue Diamond.Market Dummy v2.Detroit, MI - Food",Intercept,Intercept,Base
"Blue Diamond.Market Dummy v2.Grand Rapids, MI - Food",Intercept,Intercept,Base
Blue Diamond.Market Dummy v2.Great Lakes - IRI Standard - Drug,Intercept,Intercept,Base
"Blue Diamond.Market Dummy v2.Green Bay, WI - Food",Intercept,Intercept,Base
"Blue Diamond.Market Dummy v2.Harrisburg/Scranton, PA - Food",Intercept,Intercept,Base
"Blue Diamond.Market Dummy v2.Hartford, CT/Springfield, MA - Food",Intercept,Intercept,Base
"Blue Diamond.Market Dummy v2.Houston, TX - Food",Intercept,Intercept,Base
"Blue Diamond.Market Dummy v2.Indianapolis, IN - Food",Intercept,Intercept,Base
"Blue Diamond.Market Dummy v2.Jacksonville, FL - Food",Intercept,Intercept,Base
"Blue Diamond.Market Dummy v2.Kansas City, KS - Food",Intercept,Intercept,Base
"Blue Diamond.Market Dummy v2.Knoxville, TN - Food",Intercept,Intercept,Base
"Blue Diamond.Market Dummy v2.Las Vegas, NV - Food",Intercept,Intercept,Base
"Blue Diamond.Market Dummy v2.Little Rock, AR - Food",Intercept,Intercept,Base
"Blue Diamond.Market Dummy v2.Los Angeles, CA - Food",Intercept,Intercept,Base
"Blue Diamond.Market Dummy v2.Louisville, KY - Food",Intercept,Intercept,Base
"Blue Diamond.Market Dummy v2.Memphis, TN - Food",Intercept,Intercept,Base
"Blue Diamond.Market Dummy v2.Miami/Ft. Lauderdale, FL - Food",Intercept,Intercept,Base
Blue Diamond.Market Dummy v2.Mid-South - IRI Standard - Drug,Intercept,Intercept,Base
"Blue Diamond.Market Dummy v2.Milwaukee, WI - Food",Intercept,Intercept,Base
"Blue Diamond.Market Dummy v2.Minneapolis/St. Paul, MN - Food",Intercept,Intercept,Base
Blue Diamond.Market Dummy v2.Mississippi - Food,Intercept,Intercept,Base
"Blue Diamond.Market Dummy v2.Nashville, TN - Food",Intercept,Intercept,Base
Blue Diamond.Market Dummy v2.New England - Food,Intercept,Intercept,Base
"Blue Diamond.Market Dummy v2.New Orleans, LA/Mobile, AL - Food",Intercept,Intercept,Base
"Blue Diamond.Market Dummy v2.New York, NY - Food",Intercept,Intercept,Base
Blue Diamond.Market Dummy v2.Northeast - IRI Standard - Drug,Intercept,Intercept,Base
"Blue Diamond.Market Dummy v2.Oklahoma City, OK - Food",Intercept,Intercept,Base
"Blue Diamond.Market Dummy v2.Omaha, NE - Food",Intercept,Intercept,Base
"Blue Diamond.Market Dummy v2.Orlando, FL - Food",Intercept,Intercept,Base
"Blue Diamond.Market Dummy v2.Peoria/Springfield, IL - Food",Intercept,Intercept,Base
"Blue Diamond.Market Dummy v2.Philadelphia, PA - Food",Intercept,Intercept,Base
"Blue Diamond.Market Dummy v2.Phoenix/Tucson, AZ - Food",Intercept,Intercept,Base
"Blue Diamond.Market Dummy v2.Pittsburgh, PA - Food",Intercept,Intercept,Base
Blue Diamond.Market Dummy v2.Plains - IRI Standard - Drug,Intercept,Intercept,Base
"Blue Diamond.Market Dummy v2.Portland, OR - Food",Intercept,Intercept,Base
"Blue Diamond.Market Dummy v2.Providence, RI - Food",Intercept,Intercept,Base
"Blue Diamond.Market Dummy v2.Raleigh/Greensboro, NC - Food",Intercept,Intercept,Base
"Blue Diamond.Market Dummy v2.Richmond/Norfolk, VA - Food",Intercept,Intercept,Base
"Blue Diamond.Market Dummy v2.Roanoke, VA - Food",Intercept,Intercept,Base
"Blue Diamond.Market Dummy v2.Sacramento, CA - Food",Intercept,Intercept,Base
"Blue Diamond.Market Dummy v2.Salt Lake City, UT - Food",Intercept,Intercept,Base
"Blue Diamond.Market Dummy v2.San Diego, CA - Food",Intercept,Intercept,Base
"Blue Diamond.Market Dummy v2.San Francisco/Oakland, CA - Food",Intercept,Intercept,Base
"Blue Diamond.Market Dummy v2.Seattle/Tacoma, WA - Food",Intercept,Intercept,Base
Blue Diamond.Market Dummy v2.South Carolina - Food,Intercept,Intercept,Base
Blue Diamond.Market Dummy v2.South Central - IRI Standard - Drug,Intercept,Intercept,Base
Blue Diamond.Market Dummy v2.Southeast - IRI Standard - Drug,Intercept,Intercept,Base
"Blue Diamond.Market Dummy v2.Spokane, WA - Food",Intercept,Intercept,Base
"Blue Diamond.Market Dummy v2.St. Louis, MO - Food",Intercept,Intercept,Base
"Blue Diamond.Market Dummy v2.Syracuse, NY - Food",Intercept,Intercept,Base
"Blue Diamond.Market Dummy v2.Tampa/St. Petersburg, FL - Food",Intercept,Intercept,Base
"Blue Diamond.Market Dummy v2.Toledo, OH - Food",Intercept,Intercept,Base
"Blue Diamond.Market Dummy v2.Tulsa, OK - Food",Intercept,Intercept,Base
Blue Diamond.Market Dummy v2.West - IRI Standard - Drug,Intercept,Intercept,Base
Blue Diamond.Market Dummy v2.West Texas/New Mexico - Food,Intercept,Intercept,Base
"Blue Diamond.Market Dummy v2.Wichita, KS - Food",Intercept,Intercept,Base
SNACKS.OLV Impressions,Digital,Online Video,Marketing
SNACKS.Radio Total TRPs,Radio,Radio,Marketing
SNACKS.Print Impressions,Print,Print,Marketing
New Years.Dummy,Seasonality,Seasonality,Base
Thanksgiving.Dummy,Seasonality,Seasonality,Base
Valentines Day .Dummy,Seasonality,Seasonality,Base
SNACKS.Total Social Media,Social Media,Social Media,Marketing
DIAMOND FOODS INC-SNACK NUTS - CAN.Any Merch Volume,Trade,Competitive Trade,Competition
KRAFT HEINZ CO-SNACK NUTS - CAN.Any Merch Volume,Trade,Competitive Trade,Competition
PRIVATE LABEL-SNACK NUTS - CAN.Any Merch Volume,Trade,Competitive Trade,Competition
SNACKS - CANS.Display Volume - Food,Trade,Trade,Marketing
SNACKS - CANS.Display Volume - Food (LAG),Trade,Trade,Marketing
SNACKS - CANS.Feature & Display Volume - Drug,Trade,Trade,Marketing
SNACKS - CANS.Feature & Display Volume - Drug (LAG),Trade,Trade,Marketing
SNACKS - CANS.Feature Volume - Drug,Trade,Trade,Marketing
SNACKS - CANS.Feature Volume - Drug (LAG),Trade,Trade,Marketing
SNACKS - CANS.Feature Volume - Food,Trade,Trade,Marketing
SNACKS - CANS.Feature Volume - Food (LAG),Trade,Trade,Marketing
SNACKS - CANS.TPR Volume - Drug,Trade,Trade,Marketing
SNACKS - CANS.TPR Volume - Drug (LAG),Trade,Trade,Marketing
SNACKS - CANS.TPR Volume - Food,Trade,Trade,Marketing
SNACKS - CANS.TPR Volume - Food Lag,Trade,Trade,Marketing
SNACKS- CANS.Display Volume - Drug,Trade,Trade,Marketing
SNACKS- CANS.Display Volume - Drug (LAG),Trade,Trade,Marketing
SNACKS.Total TV,TV,Snacks TV,Marketing
Actual,Dependent,Dependent,Dependent
Predicted,,EXCLUDE,EXCLUDE
Category - Bag.Volume Sales - Drug,Category,Category,Base
Category - Bag.Volume Sales - Food,Category,Category,Base
SNACKS - BAGS (Minus Peg Bags).Volume Sales ,Actual Sales,Actual Sales,Base
SNACKS - PEG BAGS.Volume Sales,Actual Sales,Actual Sales,Base
SNACKS.PR Impressions,PR,PR,Marketing
SNACKS - BAGS.Base Price (Volume),Base Price,Base Price,Base
SNACKS - BAGS.Base Price (Volume) - Drug,Base Price,Base Price,Base
SNACKS - BAGS.Base Price (Volume) - Food,Base Price,Base Price,Base
SNACKS.Digital Coupon Circulation,In Store,Digital Coupons,Marketing
SNACKS.Digital Coupon Redemption,In Store,Digital Coupons,Marketing
SNACKS.Digital Display Impressions,Digital,Display,Marketing
SNACKS - BAGS.Quad Week %ACV _v3 - Drug,Distribution,Distribution,Base
SNACKS = BAGS.Quad Week %ACV _v3 - Food,Distribution,Distribution,Base
SNACKS - BAGS.Total FSIs,In Store,FSIs,Marketing
Constant.Intercept,Intercept,Intercept,Base
"Blue Diamond.Market Dummy v2.Atlanta, GA - Food",Intercept,Intercept,Base
"Blue Diamond.Market Dummy v2.Baltimore, MD/Washington D.C. - Food",Intercept,Intercept,Base
"Blue Diamond.Market Dummy v2.Birmingham/Montgomery, AL - Food",Intercept,Intercept,Base
"Blue Diamond.Market Dummy v2.Boise, ID - Food",Intercept,Intercept,Base
"Blue Diamond.Market Dummy v2.Boston, MA - Food",Intercept,Intercept,Base
"Blue Diamond.Market Dummy v2.Buffalo/Rochester, NY - Food",Intercept,Intercept,Base
Blue Diamond.Market Dummy v2.California - IRI Standard - Drug,Intercept,Intercept,Base
"Blue Diamond.Market Dummy v2.Charlotte, NC - Food",Intercept,Intercept,Base
"Blue Diamond.Market Dummy v2.Chicago, IL - Food",Intercept,Intercept,Base
"Blue Diamond.Market Dummy v2.Cincinnati/Dayton, OH - Food",Intercept,Intercept,Base
"Blue Diamond.Market Dummy v2.Cleveland, OH - Food",Intercept,Intercept,Base
"Blue Diamond.Market Dummy v2.Columbus, OH - Food",Intercept,Intercept,Base
"Blue Diamond.Market Dummy v2.Dallas/Ft. Worth, TX - Food",Intercept,Intercept,Base
"Blue Diamond.Market Dummy v2.Denver, CO - Food",Intercept,Intercept,Base
"Blue Diamond.Market Dummy v2.Des Moines, IA - Food",Intercept,Intercept,Base
"Blue Diamond.Market Dummy v2.Detroit, MI - Food",Intercept,Intercept,Base
"Blue Diamond.Market Dummy v2.Grand Rapids, MI - Food",Intercept,Intercept,Base
Blue Diamond.Market Dummy v2.Great Lakes - IRI Standard - Drug,Intercept,Intercept,Base
"Blue Diamond.Market Dummy v2.Green Bay, WI - Food",Intercept,Intercept,Base
"Blue Diamond.Market Dummy v2.Harrisburg/Scranton, PA - Food",Intercept,Intercept,Base
"Blue Diamond.Market Dummy v2.Hartford, CT/Springfield, MA - Food",Intercept,Intercept,Base
"Blue Diamond.Market Dummy v2.Houston, TX - Food",Intercept,Intercept,Base
"Blue Diamond.Market Dummy v2.Indianapolis, IN - Food",Intercept,Intercept,Base
"Blue Diamond.Market Dummy v2.Jacksonville, FL - Food",Intercept,Intercept,Base
"Blue Diamond.Market Dummy v2.Kansas City, KS - Food",Intercept,Intercept,Base
"Blue Diamond.Market Dummy v2.Knoxville, TN - Food",Intercept,Intercept,Base
"Blue Diamond.Market Dummy v2.Las Vegas, NV - Food",Intercept,Intercept,Base
"Blue Diamond.Market Dummy v2.Little Rock, AR - Food",Intercept,Intercept,Base
"Blue Diamond.Market Dummy v2.Los Angeles, CA - Food",Intercept,Intercept,Base
"Blue Diamond.Market Dummy v2.Louisville, KY - Food",Intercept,Intercept,Base
"Blue Diamond.Market Dummy v2.Memphis, TN - Food",Intercept,Intercept,Base
"Blue Diamond.Market Dummy v2.Miami/Ft. Lauderdale, FL - Food",Intercept,Intercept,Base
Blue Diamond.Market Dummy v2.Mid-South - IRI Standard - Drug,Intercept,Intercept,Base
"Blue Diamond.Market Dummy v2.Milwaukee, WI - Food",Intercept,Intercept,Base
"Blue Diamond.Market Dummy v2.Minneapolis/St. Paul, MN - Food",Intercept,Intercept,Base
Blue Diamond.Market Dummy v2.Mississippi - Food,Intercept,Intercept,Base
"Blue Diamond.Market Dummy v2.Nashville, TN - Food",Intercept,Intercept,Base
Blue Diamond.Market Dummy v2.New England - Food,Intercept,Intercept,Base
"Blue Diamond.Market Dummy v2.New Orleans, LA/Mobile, AL - Food",Intercept,Intercept,Base
"Blue Diamond.Market Dummy v2.New York, NY - Food",Intercept,Intercept,Base
Blue Diamond.Market Dummy v2.Northeast - IRI Standard - Drug,Intercept,Intercept,Base
"Blue Diamond.Market Dummy v2.Oklahoma City, OK - Food",Intercept,Intercept,Base
"Blue Diamond.Market Dummy v2.Omaha, NE - Food",Intercept,Intercept,Base
"Blue Diamond.Market Dummy v2.Orlando, FL - Food",Intercept,Intercept,Base
"Blue Diamond.Market Dummy v2.Peoria/Springfield, IL - Food",Intercept,Intercept,Base
"Blue Diamond.Market Dummy v2.Philadelphia, PA - Food",Intercept,Intercept,Base
"Blue Diamond.Market Dummy v2.Phoenix/Tucson, AZ - Food",Intercept,Intercept,Base
"Blue Diamond.Market Dummy v2.Pittsburgh, PA - Food",Intercept,Intercept,Base
Blue Diamond.Market Dummy v2.Plains - IRI Standard - Drug,Intercept,Intercept,Base
"Blue Diamond.Market Dummy v2.Portland, OR - Food",Intercept,Intercept,Base
"Blue Diamond.Market Dummy v2.Providence, RI - Food",Intercept,Intercept,Base
"Blue Diamond.Market Dummy v2.Raleigh/Greensboro, NC - Food",Intercept,Intercept,Base
"Blue Diamond.Market Dummy v2.Richmond/Norfolk, VA - Food",Intercept,Intercept,Base
"Blue Diamond.Market Dummy v2.Roanoke, VA - Food",Intercept,Intercept,Base
"Blue Diamond.Market Dummy v2.Sacramento, CA - Food",Intercept,Intercept,Base
"Blue Diamond.Market Dummy v2.Salt Lake City, UT - Food",Intercept,Intercept,Base
"Blue Diamond.Market Dummy v2.San Diego, CA - Food",Intercept,Intercept,Base
"Blue Diamond.Market Dummy v2.San Francisco/Oakland, CA - Food",Intercept,Intercept,Base
"Blue Diamond.Market Dummy v2.Seattle/Tacoma, WA - Food",Intercept,Intercept,Base
Blue Diamond.Market Dummy v2.South Carolina - Food,Intercept,Intercept,Base
Blue Diamond.Market Dummy v2.South Central - IRI Standard - Drug,Intercept,Intercept,Base
Blue Diamond.Market Dummy v2.Southeast - IRI Standard - Drug,Intercept,Intercept,Base
"Blue Diamond.Market Dummy v2.Spokane, WA - Food",Intercept,Intercept,Base
"Blue Diamond.Market Dummy v2.St. Louis, MO - Food",Intercept,Intercept,Base
"Blue Diamond.Market Dummy v2.Syracuse, NY - Food",Intercept,Intercept,Base
"Blue Diamond.Market Dummy v2.Tampa/St. Petersburg, FL - Food",Intercept,Intercept,Base
"Blue Diamond.Market Dummy v2.Toledo, OH - Food",Intercept,Intercept,Base
"Blue Diamond.Market Dummy v2.Tulsa, OK - Food",Intercept,Intercept,Base
Blue Diamond.Market Dummy v2.West - IRI Standard - Drug,Intercept,Intercept,Base
Blue Diamond.Market Dummy v2.West Texas/New Mexico - Food,Intercept,Intercept,Base
"Blue Diamond.Market Dummy v2.Wichita, KS - Food",Intercept,Intercept,Base
SNACKS.OLV Impressions,Digital,Online Video,Marketing
SNACKS.Radio Total TRPs,Radio,Radio,Marketing
SNACKS.Total Paid Search Clicks,Paid Search,Paid Search,Marketing
SNACKS COMPETITION.California Almond Board_Almonds Print Impressions,Print,Competitive Media,Competition
SNACKS COMPETITION.Planters_Total Print Impressions,Print,Competitive Media,Competition
SNACKS COMPETITION.Wonderful Pistachios_Total Print Impressions,Print,Competitive Media,Competition
SNACKS.Print Impressions,Print,Print,Marketing
Christmas.Dummy,Seasonality,Seasonality,Base
New Years.Dummy,Seasonality,Seasonality,Base
Thanksgiving.Dummy,Seasonality,Seasonality,Base
Valentines Day .Dummy,Seasonality,Seasonality,Base
SNACKS.Blog Total Impressions,Social Media,Social Media,Marketing
SNACKS.Facebook Impressions Paid,Social Media,Social Media,Marketing
SNACKS.Instagram Impressions Paid,Social Media,Social Media,Marketing
SNACKS.Total Social Media,Social Media,Social Media,Marketing
SNACKS.Twitter Impressions Paid,Social Media,Social Media,Marketing
SNACKS - BAGS.Display Volume - Drug,Trade,Trade,Marketing
SNACKS - BAGS.Display Volume - Food,Trade,Trade,Marketing
SNACKS - BAGS.Feature & Display Volume - Drug,Trade,Trade,Marketing
SNACKS - BAGS.Feature & Display Volume - Food,Trade,Trade,Marketing
SNACKS - BAGS.Feature Volume - Drug,Trade,Trade,Marketing
SNACKS - BAGS.Feature Volume - Food,Trade,Trade,Marketing
SNACKS - BAGS.TPr Volume - Drug,Trade,Trade,Marketing
SNACKS - BAGS.TPR Volume - Food,Trade,Trade,Marketing
SNACKS.Total TV,TV,Snacks TV,Marketing
Actual,Dependent,Dependent,Dependent
Predicted,,EXCLUDE,EXCLUDE
ALMOND BREEZE.PR Impressions,PR,PR,Marketing
Category - RFG Almond Milk.Volume Sales,Category,Category,Base
Category - RFG NON DAIRY BEVERAGES.Volume Sales,Category,Category,Base
BLUE DIAMOND GROWERS-RFG ALM.Base Price,Base Price,Base Price,Base
BLUE DIAMOND GROWERS-RFG ALM.Base Price - Drug,Base Price,Base Price,Base
BLUE DIAMOND GROWERS-RFG ALM.Base Price - Food,Base Price,Base Price,Base
CALIFIA FARMS LLC-RFG ALM.Base Price,Base Price,Competitive Base Price,Competition
PACIFIC FOODS OF OREGON INC-SS ALM.Base Price,Base Price,Competitive Base Price,Competition
ALMOND BREEZE.Total Catalina Impressions (Excluding Event 1),Catalina,Catalina,Marketing
ALMOND BREEZE.Digital Coupon Circulation,In Store,Digital Coupons,Marketing
ALMOND BREEZE.Digital Display Impressions,Digital,Display,Marketing
ALMOND BREEZE.Website Almond Breeze.com Visitors,Website,Website,Marketing
ALMOND BREEZE - CHILLED.Quad Week %ACV _v3,Distribution,Distribution,Base
ALMOND BREEZE - CHILLED.Total FSI,In Store,FSIs,Marketing
Constant.Intercept,Intercept,Intercept,Base
"Blue Diamond.Market Dummy v2.Atlanta, GA - Multi Outlet",Intercept,Intercept,Base
"Blue Diamond.Market Dummy v2.Baltimore, MD/Washington D.C. - Multi Outlet",Intercept,Intercept,Base
"Blue Diamond.Market Dummy v2.Birmingham/Montgomery, AL - Multi Outlet",Intercept,Intercept,Base
"Blue Diamond.Market Dummy v2.Boise, ID - Multi Outlet",Intercept,Intercept,Base
"Blue Diamond.Market Dummy v2.Boston, MA - Multi Outlet",Intercept,Intercept,Base
"Blue Diamond.Market Dummy v2.Buffalo/Rochester, NY - Multi Outlet",Intercept,Intercept,Base
Blue Diamond.Market Dummy v2.California - IRI Standard - Drug,Intercept,Intercept,Base
"Blue Diamond.Market Dummy v2.Charlotte, NC - Multi Outlet",Intercept,Intercept,Base
"Blue Diamond.Market Dummy v2.Chicago, IL - Multi Outlet",Intercept,Intercept,Base
"Blue Diamond.Market Dummy v2.Cincinnati/Dayton, OH - Multi Outlet",Intercept,Intercept,Base
"Blue Diamond.Market Dummy v2.Cleveland, OH - Multi Outlet",Intercept,Intercept,Base
"Blue Diamond.Market Dummy v2.Columbus, OH - Multi Outlet",Intercept,Intercept,Base
"Blue Diamond.Market Dummy v2.Dallas/Ft. Worth, TX - Multi Outlet",Intercept,Intercept,Base
"Blue Diamond.Market Dummy v2.Denver, CO - Multi Outlet",Intercept,Intercept,Base
"Blue Diamond.Market Dummy v2.Des Moines, IA - Multi Outlet",Intercept,Intercept,Base
"Blue Diamond.Market Dummy v2.Detroit, MI - Multi Outlet",Intercept,Intercept,Base
"Blue Diamond.Market Dummy v2.Grand Rapids, MI - Multi Outlet",Intercept,Intercept,Base
Blue Diamond.Market Dummy v2.Great Lakes - IRI Standard - Drug,Intercept,Intercept,Base
"Blue Diamond.Market Dummy v2.Green Bay, WI - Multi Outlet",Intercept,Intercept,Base
"Blue Diamond.Market Dummy v2.Harrisburg/Scranton, PA - Multi Outlet",Intercept,Intercept,Base
"Blue Diamond.Market Dummy v2.Hartford, CT/Springfield, MA - Multi Outlet",Intercept,Intercept,Base
"Blue Diamond.Market Dummy v2.Houston, TX - Multi Outlet",Intercept,Intercept,Base
"Blue Diamond.Market Dummy v2.Indianapolis, IN - Multi Outlet",Intercept,Intercept,Base
"Blue Diamond.Market Dummy v2.Jacksonville, FL - Multi Outlet",Intercept,Intercept,Base
"Blue Diamond.Market Dummy v2.Kansas City, KS - Multi Outlet",Intercept,Intercept,Base
"Blue Diamond.Market Dummy v2.Knoxville, TN - Multi Outlet",Intercept,Intercept,Base
"Blue Diamond.Market Dummy v2.Las Vegas, NV - Multi Outlet",Intercept,Intercept,Base
"Blue Diamond.Market Dummy v2.Little Rock, AR - Multi Outlet",Intercept,Intercept,Base
"Blue Diamond.Market Dummy v2.Los Angeles, CA - Multi Outlet",Intercept,Intercept,Base
"Blue Diamond.Market Dummy v2.Louisville, KY - Multi Outlet",Intercept,Intercept,Base
"Blue Diamond.Market Dummy v2.Memphis, TN - Multi Outlet",Intercept,Intercept,Base
"Blue Diamond.Market Dummy v2.Miami/Ft. Lauderdale, FL - Multi Outlet",Intercept,Intercept,Base
Blue Diamond.Market Dummy v2.Mid-South - IRI Standard - Drug,Intercept,Intercept,Base
"Blue Diamond.Market Dummy v2.Milwaukee, WI - Multi Outlet",Intercept,Intercept,Base
"Blue Diamond.Market Dummy v2.Minneapolis/St. Paul, MN - Multi Outlet",Intercept,Intercept,Base
Blue Diamond.Market Dummy v2.Mississippi - Multi Outlet,Intercept,Intercept,Base
"Blue Diamond.Market Dummy v2.Nashville, TN - Multi Outlet",Intercept,Intercept,Base
Blue Diamond.Market Dummy v2.New England - Multi Outlet,Intercept,Intercept,Base
"Blue Diamond.Market Dummy v2.New Orleans, LA/Mobile, AL - Multi Outlet",Intercept,Intercept,Base
"Blue Diamond.Market Dummy v2.New York, NY - Multi Outlet",Intercept,Intercept,Base
Blue Diamond.Market Dummy v2.Northeast - IRI Standard - Drug,Intercept,Intercept,Base
"Blue Diamond.Market Dummy v2.Oklahoma City, OK - Multi Outlet",Intercept,Intercept,Base
"Blue Diamond.Market Dummy v2.Omaha, NE - Multi Outlet",Intercept,Intercept,Base
"Blue Diamond.Market Dummy v2.Orlando, FL - Multi Outlet",Intercept,Intercept,Base
"Blue Diamond.Market Dummy v2.Peoria/Springfield, IL - Multi Outlet",Intercept,Intercept,Base
"Blue Diamond.Market Dummy v2.Philadelphia, PA - Multi Outlet",Intercept,Intercept,Base
"Blue Diamond.Market Dummy v2.Phoenix/Tucson, AZ - Multi Outlet",Intercept,Intercept,Base
"Blue Diamond.Market Dummy v2.Pittsburgh, PA - Multi Outlet",Intercept,Intercept,Base
Blue Diamond.Market Dummy v2.Plains - IRI Standard - Drug,Intercept,Intercept,Base
"Blue Diamond.Market Dummy v2.Portland, OR - Multi Outlet",Intercept,Intercept,Base
"Blue Diamond.Market Dummy v2.Providence, RI - Multi Outlet",Intercept,Intercept,Base
"Blue Diamond.Market Dummy v2.Raleigh/Greensboro, NC - Multi Outlet",Intercept,Intercept,Base
"Blue Diamond.Market Dummy v2.Richmond/Norfolk, VA - Multi Outlet",Intercept,Intercept,Base
"Blue Diamond.Market Dummy v2.Roanoke, VA - Multi Outlet",Intercept,Intercept,Base
"Blue Diamond.Market Dummy v2.Sacramento, CA - Multi Outlet",Intercept,Intercept,Base
"Blue Diamond.Market Dummy v2.Salt Lake City, UT - Multi Outlet",Intercept,Intercept,Base
"Blue Diamond.Market Dummy v2.San Diego, CA - Multi Outlet",Intercept,Intercept,Base
"Blue Diamond.Market Dummy v2.San Francisco/Oakland, CA - Multi Outlet",Intercept,Intercept,Base
"Blue Diamond.Market Dummy v2.Seattle/Tacoma, WA - Multi Outlet",Intercept,Intercept,Base
