Variable,Grouping 1,Grouping 2,Base vs Marketing
Blue Diamond.Market Dummy v2.South Carolina - Multi Outlet,Intercept,Intercept,Base
Blue Diamond.Market Dummy v2.South Central - IRI Standard - Drug,Intercept,Intercept,Base
Blue Diamond.Market Dummy v2.Southeast - IRI Standard - Drug,Intercept,Intercept,Base
"Blue Diamond.Market Dummy v2.Spokane, WA - Multi Outlet",Intercept,Intercept,Base
"Blue Diamond.Market Dummy v2.St. Louis, MO - Multi Outlet",Intercept,Intercept,Base
"Blue Diamond.Market Dummy v2.Syracuse, NY - Multi Outlet",Intercept,Intercept,Base
"Blue Diamond.Market Dummy v2.Tampa/St. Petersburg, FL - Multi Outlet",Intercept,Intercept,Base
"Blue Diamond.Market Dummy v2.Toledo, OH - Multi Outlet",Intercept,Intercept,Base
"Blue Diamond.Market Dummy v2.Tulsa, OK - Multi Outlet",Intercept,Intercept,Base
Blue Diamond.Market Dummy v2.West - IRI Standard - Drug,Intercept,Intercept,Base
Blue Diamond.Market Dummy v2.West Texas/New Mexico - Multi Outlet,Intercept,Intercept,Base
"Blue Diamond.Market Dummy v2.Wichita, KS - Multi Outlet",Intercept,Intercept,Base
ALMOND BREEZE.Total Paid Search Clicks,Paid Search,Paid Search,Marketing
Christmas.Dummy,Seasonality,Seasonality,Base
New Years.Dummy,Seasonality,Seasonality,Base
Thanksgiving.Dummy,Seasonality,Seasonality,Base
Valentines Day .Dummy,Seasonality,Seasonality,Base
ALMOND BREEZE.Blog Total Impressions,Social Media,Social Media,Marketing
ALMOND BREEZE.Facebook Impressions Paid,Social Media,Social Media,Marketing
ALMOND BREEZE.Instagram Impressions Paid,Social Media,Social Media,Marketing
ALMOND BREEZE.Twitter Impressions Paid,Social Media,Social Media,Marketing
BLUE DIAMOND GROWERS-RFG ALM.Display Volume - Drug,Trade,Trade,Marketing
BLUE DIAMOND GROWERS-RFG ALM.Display Volume - Food,Trade,Trade,Marketing
BLUE DIAMOND GROWERS-RFG ALM.Feature & Display Volume - Drug,Trade,Trade,Marketing
BLUE DIAMOND GROWERS-RFG ALM.Feature & Display Volume - Food,Trade,Trade,Marketing
BLUE DIAMOND GROWERS-RFG ALM.Feature Volume - Drug,Trade,Trade,Marketing
BLUE DIAMOND GROWERS-RFG ALM.Feature Volume - Food,Trade,Trade,Marketing
BLUE DIAMOND GROWERS-RFG ALM.TPR Volume - Drug ,Trade,Trade,Marketing
BLUE DIAMOND GROWERS-RFG ALM.TPR Volume - Food,Trade,Trade,Marketing
CALIFIA FARMS LLC-RFG ALM.Any Merch,Trade,Competitive Trade,Competition
PACIFIC FOODS OF OREGON INC-SS ALM.Any Merch,Trade,Competitive Trade,Competition
PRIVATE LABEL-RFG ALM.Any Merch,Trade,Competitive Trade,Competition
PRIVATE LABEL-SS ALM.Any Merch,Trade,Competitive Trade,Competition
WHITEWAVE FOODS CO-RFG ALM.Any Merch,Trade,Competitive Trade,Competition
WHITEWAVE FOODS CO-SS ALM.Any Merch,Trade,Competitive Trade,Competition
ALMOND BREEZE.TV - Campaign - Summer Olympics,TV,Breeze TV,Marketing
Total Almonds Category MULO Switching.Volume Sales,Category,Category,Base
Total Almonds Category.Volume Sales,Category,Category,Base
SNACKS - BAGS & Private Label.Gap Base Price,Base Price,Competitive Base Price,Competition
SNACKS.Digital Coupon Redemption,In Store,Digital Coupons,Marketing
DIAMOND FOODS INC - CAN.ACV Weighted Distribution,Distribution,Competitive Distribution,Competition
KRAFT HEINZ CO - CAN.ACV Weighted Distribution,Distribution,Competitive Distribution,Competition
PRIVATE LABEL - CAN.ACV Weighted Distribution,Distribution,Competitive Distribution,Competition
"Blue Diamond.Market Dummy v2.Albany, NY - Food",Intercept,Intercept,Base
SNACKS.Total Paid Search Clicks,Paid Search,Paid Search,Marketing
SNACKS COMPETITION.California Almond Board_Almonds Print Impressions,Print,Competitive Print,Competition
SNACKS COMPETITION.Wonderful Pistachios_Total Print Impressions,Print,Competitive Print,Competition
SNACKS - CANS.Feature - Volume 1.31.2016,Trade,Trade,Marketing
SNACKS - CANS.Feature - Volume 5.18.2014,Trade,Trade,Marketing
SNACKS - CANS.Feature Volume - Drug - Pre-Christmas Overlays,Trade,Trade,Marketing
Total Almonds Category MULO Switching.Volume Sales,Category,Category,Base
Total Almonds Category.Volume Sales - Drug,Category,Category,Base
Total Almonds Category.Volume Sales - Food,Category,Category,Base
SNACKS Bags - Private Label.Gap Base Price,Base Price,Competitive Base Price,Competition
SNACKS.All Other Inmar Circulation,In Store,All Other Coupons,Marketing
SNACKS - BAGS.Display Volume - Drug (LAG),Trade,Trade,Marketing
SNACKS - BAGS.Display Volume - Food (LAG),Trade,Trade,Marketing
SNACKS - BAGS.Feature & Display Volume - Drug (LAG),Trade,Trade,Marketing
SNACKS - BAGS.Feature & Display Volume - Food (LAG),Trade,Trade,Marketing
SNACKS - BAGS.Feature Volume - Drug (LAG),Trade,Trade,Marketing
SNACKS - BAGS.Feature Volume - Food (LAG),Trade,Trade,Marketing
SNACKS - BAGS.TPR Volume - Drug (LAG),Trade,Trade,Marketing
SNACKS - BAGS.TPR Volume - Food (LAG),Trade,Trade,Marketing
Category - RFG NON DAIRY BEVERAGES.Volume Sales - Drug,Category,Category,Base
Category - RFG NON DAIRY BEVERAGES.Volume Sales - Food,Category,Category,Base
Category - RFG NON DAIRY BEVERAGES.Volume Sales - MULO Channel Switching,Category,Category,Base
PRIVATE LABEL-RFG ALM.Base Price,Base Price,Competitive Base Price,Competition
ALMOND BREEZE - CHILLED.Quad Week %ACV _v3 - All Other SKUs,Distribution,Distribution,Base
ALMOND BREEZE - CHILLED.Quad Week %ACV _v3 - Increasing SKUs (Drug Only),Distribution,Distribution,Base
ALMOND BREEZE - CHILLED.Quad Week %ACV _v3 - Increasing SKUs (Food Only),Distribution,Distribution,Base
ALMOND BREEZE - CHILLED.Quad Week %ACV _v3 (Pre-Split),Distribution,Distribution,Base
ALMOND BREEZE - CHILLED.1/17/2016,In Store,FSIs,Marketing
ALMOND BREEZE - CHILLED.7/12/2015,In Store,FSIs,Marketing
ALMOND BREEZE - CHILLED.7/24/2016,In Store,FSIs,Marketing
ALMOND BREEZE - CHILLED.8/17/2014,In Store,FSIs,Marketing
"Blue Diamond.Market Dummy v2.Atlanta, GA - Food",Intercept,Intercept,Base
"Blue Diamond.Market Dummy v2.Baltimore, MD/Washington D.C. - Food",Intercept,Intercept,Base
"Blue Diamond.Market Dummy v2.Birmingham/Montgomery, AL - Food",Intercept,Intercept,Base
"Blue Diamond.Market Dummy v2.Boise, ID - Food",Intercept,Intercept,Base
"Blue Diamond.Market Dummy v2.Boston, MA - Food",Intercept,Intercept,Base
"Blue Diamond.Market Dummy v2.Buffalo/Rochester, NY - Food",Intercept,Intercept,Base
"Blue Diamond.Market Dummy v2.Charlotte, NC - Food",Intercept,Intercept,Base
"Blue Diamond.Market Dummy v2.Chicago, IL - Food",Intercept,Intercept,Base
"Blue Diamond.Market Dummy v2.Cincinnati/Dayton, OH - Food",Intercept,Intercept,Base
"Blue Diamond.Market Dummy v2.Cleveland, OH - Food",Intercept,Intercept,Base
"Blue Diamond.Market Dummy v2.Columbus, OH - Food",Intercept,Intercept,Base
"Blue Diamond.Market Dummy v2.Dallas/Ft. Worth, TX - Food",Intercept,Intercept,Base
"Blue Diamond.Market Dummy v2.Denver, CO - Food",Intercept,Intercept,Base
"Blue Diamond.Market Dummy v2.Des Moines, IA - Food",Intercept,Intercept,Base
"Blue Diamond.Market Dummy v2.Detroit, MI - Food",Intercept,Intercept,Base
"Blue Diamond.Market Dummy v2.Grand Rapids, MI - Food",Intercept,Intercept,Base
"Blue Diamond.Market Dummy v2.Green Bay, WI - Food",Intercept,Intercept,Base
"Blue Diamond.Market Dummy v2.Harrisburg/Scranton, PA - Food",Intercept,Intercept,Base
"Blue Diamond.Market Dummy v2.Hartford, CT/Springfield, MA - Food",Intercept,Intercept,Base
"Blue Diamond.Market Dummy v2.Houston, TX - Food",Intercept,Intercept,Base
"Blue Diamond.Market Dummy v2.Indianapolis, IN - Food",Intercept,Intercept,Base
"Blue Diamond.Market Dummy v2.Jacksonville, FL - Food",Intercept,Intercept,Base
"Blue Diamond.Market Dummy v2.Kansas City, KS - Food",Intercept,Intercept,Base
"Blue Diamond.Market Dummy v2.Knoxville, TN - Food",Intercept,Intercept,Base
"Blue Diamond.Market Dummy v2.Las Vegas, NV - Food",Intercept,Intercept,Base
"Blue Diamond.Market Dummy v2.Little Rock, AR - Food",Intercept,Intercept,Base
"Blue Diamond.Market Dummy v2.Los Angeles, CA - Food",Intercept,Intercept,Base
"Blue Diamond.Market Dummy v2.Louisville, KY - Food",Intercept,Intercept,Base
"Blue Diamond.Market Dummy v2.Memphis, TN - Food",Intercept,Intercept,Base
"Blue Diamond.Market Dummy v2.Miami/Ft. Lauderdale, FL - Food",Intercept,Intercept,Base
"Blue Diamond.Market Dummy v2.Milwaukee, WI - Food",Intercept,Intercept,Base
"Blue Diamond.Market Dummy v2.Minneapolis/St. Paul, MN - Food",Intercept,Intercept,Base
Blue Diamond.Market Dummy v2.Mississippi - Food,Intercept,Intercept,Base
"Blue Diamond.Market Dummy v2.Nashville, TN - Food",Intercept,Intercept,Base
Blue Diamond.Market Dummy v2.New England - Food,Intercept,Intercept,Base
"Blue Diamond.Market Dummy v2.New Orleans, LA/Mobile, AL - Food",Intercept,Intercept,Base
"Blue Diamond.Market Dummy v2.New York, NY - Food",Intercept,Intercept,Base
"Blue Diamond.Market Dummy v2.Oklahoma City, OK - Food",Intercept,Intercept,Base
"Blue Diamond.Market Dummy v2.Omaha, NE - Food",Intercept,Intercept,Base
"Blue Diamond.Market Dummy v2.Orlando, FL - Food",Intercept,Intercept,Base
"Blue Diamond.Market Dummy v2.Peoria/Springfield, IL - Food",Intercept,Intercept,Base
"Blue Diamond.Market Dummy v2.Philadelphia, PA - Food",Intercept,Intercept,Base
"Blue Diamond.Market Dummy v2.Phoenix/Tucson, AZ - Food",Intercept,Intercept,Base
"Blue Diamond.Market Dummy v2.Pittsburgh, PA - Food",Intercept,Intercept,Base
"Blue Diamond.Market Dummy v2.Portland, OR - Food",Intercept,Intercept,Base
"Blue Diamond.Market Dummy v2.Providence, RI - Food",Intercept,Intercept,Base
"Blue Diamond.Market Dummy v2.Raleigh/Greensboro, NC - Food",Intercept,Intercept,Base
"Blue Diamond.Market Dummy v2.Richmond/Norfolk, VA - Food",Intercept,Intercept,Base
"Blue Diamond.Market Dummy v2.Roanoke, VA - Food",Intercept,Intercept,Base
"Blue Diamond.Market Dummy v2.Sacramento, CA - Food",Intercept,Intercept,Base
"Blue Diamond.Market Dummy v2.Salt Lake City, UT - Food",Intercept,Intercept,Base
"Blue Diamond.Market Dummy v2.San Diego, CA - Food",Intercept,Intercept,Base
"Blue Diamond.Market Dummy v2.San Francisco/Oakland, CA - Food",Intercept,Intercept,Base
"Blue Diamond.Market Dummy v2.Seattle/Tacoma, WA - Food",Intercept,Intercept,Base
Blue Diamond.Market Dummy v2.South Carolina - Food,Intercept,Intercept,Base
"Blue Diamond.Market Dummy v2.Spokane, WA - Food",Intercept,Intercept,Base
"Blue Diamond.Market Dummy v2.St. Louis, MO - Food",Intercept,Intercept,Base
"Blue Diamond.Market Dummy v2.Syracuse, NY - Food",Intercept,Intercept,Base
"Blue Diamond.Market Dummy v2.Tampa/St. Petersburg, FL - Food",Intercept,Intercept,Base
"Blue Diamond.Market Dummy v2.Toledo, OH - Food",Intercept,Intercept,Base
"Blue Diamond.Market Dummy v2.Tulsa, OK - Food",Intercept,Intercept,Base
Blue Diamond.Market Dummy v2.West Texas/New Mexico - Food,Intercept,Intercept,Base
"Blue Diamond.Market Dummy v2.Wichita, KS - Food",Intercept,Intercept,Base
ALMOND BREEZE - CHILLED.News America Total Circulation,In Store,News America,Marketing
ALMOND BREEZE.OLV Impressions,Digital,Online Video,Marketing
ALMOND BREEZE.Total Paid Search Impressions,Paid Search,Paid Search,Marketing
AB COMPETITION.Print Lactaid Impressions,Print,Competitive Media,Competition
AB COMPETITION.Print Silk Almondmilk Impressions,Print,Competitive Media,Competition
AB COMPETITION.Print Silk Creamy Cashew Impressions,Print,Competitive Media,Competition
AB COMPETITION.Print Silk Impressions,Print,Competitive Media,Competition
Post Christmas.Dummy,Seasonality,Seasonality,Base
Almond Breeze.Total Social Media,Social Media,Social Media,Marketing
BLUE DIAMOND GROWERS-RFG ALM.Feature Volume - Food (LAG),Trade,Trade,Marketing
BLUE DIAMOND GROWERS-RFG ALM.TPR Volume - Food (LAG),Trade,Trade,Marketing
ALMOND BREEZE.Almond Breeze FY 2014 TV Integration,TV,Breeze TV,Marketing
ALMOND BREEZE.Competitive TV Lactaid Imp,TV,Competitive TV,Competition
ALMOND BREEZE.Competitive TV Milk Music Imp,TV,Competitive TV,Competition
ALMOND BREEZE.TV - Campaign - Best Almonds Make Best Almondmilk,TV,Breeze TV,Marketing
ALMOND BREEZE.TV - Campaign - Breezeville,TV,Breeze TV,Marketing
Actual,Dependent,Dependent,Dependent
Predicted,,EXCLUDE,EXCLUDE
Category - SS NON DAIRY BEVERAGES.Volume Sales (Minus BDG) - Drug,Category,Category,Base
Category - SS NON DAIRY BEVERAGES.Volume Sales (Minus BDG) - Food,Category,Category,Base
BLUE DIAMOND GROWERS-SS ALM.Base Price,Base Price,Base Price,Base
PRIVATE LABEL-SS ALM.Base Price,Base Price,Competitive Base Price,Competition
WHITEWAVE FOODS CO-SS ALM.Base Price,Base Price,Competitive Base Price,Competition
ALMOND BREEZE - ASEPTIC.Quad Week %ACV _v3 - Food,Distribution,Distribution,Base
Constant.Intercept,Intercept,Intercept,Base
"Blue Diamond.Market Dummy v2.Atlanta, GA - Food",Intercept,Intercept,Base
"Blue Diamond.Market Dummy v2.Baltimore, MD/Washington D.C. - Food",Intercept,Intercept,Base
"Blue Diamond.Market Dummy v2.Birmingham/Montgomery, AL - Food",Intercept,Intercept,Base
"Blue Diamond.Market Dummy v2.Boise, ID - Food",Intercept,Intercept,Base
"Blue Diamond.Market Dummy v2.Boston, MA - Food",Intercept,Intercept,Base
"Blue Diamond.Market Dummy v2.Buffalo/Rochester, NY - Food",Intercept,Intercept,Base
Blue Diamond.Market Dummy v2.California - IRI Standard - Drug,Intercept,Intercept,Base
"Blue Diamond.Market Dummy v2.Charlotte, NC - Food",Intercept,Intercept,Base
"Blue Diamond.Market Dummy v2.Chicago, IL - Food",Intercept,Intercept,Base
"Blue Diamond.Market Dummy v2.Cincinnati/Dayton, OH - Food",Intercept,Intercept,Base
"Blue Diamond.Market Dummy v2.Cleveland, OH - Food",Intercept,Intercept,Base
"Blue Diamond.Market Dummy v2.Columbus, OH - Food",Intercept,Intercept,Base
"Blue Diamond.Market Dummy v2.Dallas/Ft. Worth, TX - Food",Intercept,Intercept,Base
"Blue Diamond.Market Dummy v2.Denver, CO - Food",Intercept,Intercept,Base
"Blue Diamond.Market Dummy v2.Des Moines, IA - Food",Intercept,Intercept,Base
"Blue Diamond.Market Dummy v2.Detroit, MI - Food",Intercept,Intercept,Base
"Blue Diamond.Market Dummy v2.Grand Rapids, MI - Food",Intercept,Intercept,Base
Blue Diamond.Market Dummy v2.Great Lakes - IRI Standard - Drug,Intercept,Intercept,Base
"Blue Diamond.Market Dummy v2.Green Bay, WI - Food",Intercept,Intercept,Base
"Blue Diamond.Market Dummy v2.Harrisburg/Scranton, PA - Food",Intercept,Intercept,Base
"Blue Diamond.Market Dummy v2.Hartford, CT/Springfield, MA - Food",Intercept,Intercept,Base
"Blue Diamond.Market Dummy v2.Houston, TX - Food",Intercept,Intercept,Base
"Blue Diamond.Market Dummy v2.Indianapolis, IN - Food",Intercept,Intercept,Base
"Blue Diamond.Market Dummy v2.Jacksonville, FL - Food",Intercept,Intercept,Base
"Blue Diamond.Market Dummy v2.Kansas City, KS - Food",Intercept,Intercept,Base
"Blue Diamond.Market Dummy v2.Knoxville, TN - Food",Intercept,Intercept,Base
"Blue Diamond.Market Dummy v2.Las Vegas, NV - Food",Intercept,Intercept,Base
"Blue Diamond.Market Dummy v2.Little Rock, AR - Food",Intercept,Intercept,Base
"Blue Diamond.Market Dummy v2.Los Angeles, CA - Food",Intercept,Intercept,Base
"Blue Diamond.Market Dummy v2.Louisville, KY - Food",Intercept,Intercept,Base
"Blue Diamond.Market Dummy v2.Memphis, TN - Food",Intercept,Intercept,Base
"Blue Diamond.Market Dummy v2.Miami/Ft. Lauderdale, FL - Food",Intercept,Intercept,Base
Blue Diamond.Market Dummy v2.Mid-South - IRI Standard - Drug,Intercept,Intercept,Base
"Blue Diamond.Market Dummy v2.Milwaukee, WI - Food",Intercept,Intercept,Base
"Blue Diamond.Market Dummy v2.Minneapolis/St. Paul, MN - Food",Intercept,Intercept,Base
Blue Diamond.Market Dummy v2.Mississippi - Food,Intercept,Intercept,Base
"Blue Diamond.Market Dummy v2.Nashville, TN - Food",Intercept,Intercept,Base
Blue Diamond.Market Dummy v2.New England - Food,Intercept,Intercept,Base
"Blue Diamond.Market Dummy v2.New Orleans, LA/Mobile, AL - Food",Intercept,Intercept,Base
"Blue Diamond.Market Dummy v2.New York, NY - Food",Intercept,Intercept,Base
Blue Diamond.Market Dummy v2.Northeast - IRI Standard - Drug,Intercept,Intercept,Base
"Blue Diamond.Market Dummy v2.Oklahoma City, OK - Food",Intercept,Intercept,Base
"Blue Diamond.Market Dummy v2.Omaha, NE - Food",Intercept,Intercept,Base
"Blue Diamond.Market Dummy v2.Orlando, FL - Food",Intercept,Intercept,Base
"Blue Diamond.Market Dummy v2.Peoria/Springfield, IL - Food",Intercept,Intercept,Base
"Blue Diamond.Market Dummy v2.Philadelphia, PA - Food",Intercept,Intercept,Base
"Blue Diamond.Market Dummy v2.Phoenix/Tucson, AZ - Food",Intercept,Intercept,Base
"Blue Diamond.Market Dummy v2.Pittsburgh, PA - Food",Intercept,Intercept,Base
Blue Diamond.Market Dummy v2.Plains - IRI Standard - Drug,Intercept,Intercept,Base
"Blue Diamond.Market Dummy v2.Portland, OR - Food",Intercept,Intercept,Base
"Blue Diamond.Market Dummy v2.Providence, RI - Food",Intercept,Intercept,Base
"Blue Diamond.Market Dummy v2.Raleigh/Greensboro, NC - Food",Intercept,Intercept,Base
"Blue Diamond.Market Dummy v2.Richmond/Norfolk, VA - Food",Intercept,Intercept,Base
"Blue Diamond.Market Dummy v2.Roanoke, VA - Food",Intercept,Intercept,Base
"Blue Diamond.Market Dummy v2.Sacramento, CA - Food",Intercept,Intercept,Base
"Blue Diamond.Market Dummy v2.Salt Lake City, UT - Food",Intercept,Intercept,Base
"Blue Diamond.Market Dummy v2.San Diego, CA - Food",Intercept,Intercept,Base
"Blue Diamond.Market Dummy v2.San Francisco/Oakland, CA - Food",Intercept,Intercept,Base
"Blue Diamond.Market Dummy v2.Seattle/Tacoma, WA - Food",Intercept,Intercept,Base
Blue Diamond.Market Dummy v2.South Carolina - Food,Intercept,Intercept,Base
Blue Diamond.Market Dummy v2.South Central - IRI Standard - Drug,Intercept,Intercept,Base
Blue Diamond.Market Dummy v2.Southeast - IRI Standard - Drug,Intercept,Intercept,Base
"Blue Diamond.Market Dummy v2.Spokane, WA - Food",Intercept,Intercept,Base
"Blue Diamond.Market Dummy v2.St. Louis, MO - Food",Intercept,Intercept,Base
"Blue Diamond.Market Dummy v2.Syracuse, NY - Food",Intercept,Intercept,Base
"Blue Diamond.Market Dummy v2.Tampa/St. Petersburg, FL - Food",Intercept,Intercept,Base
"Blue Diamond.Market Dummy v2.Toledo, OH - Food",Intercept,Intercept,Base
"Blue Diamond.Market Dummy v2.Tulsa, OK - Food",Intercept,Intercept,Base
Blue Diamond.Market Dummy v2.West - IRI Standard - Drug,Intercept,Intercept,Base
Blue Diamond.Market Dummy v2.West Texas/New Mexico - Food,Intercept,Intercept,Base
"Blue Diamond.Market Dummy v2.Wichita, KS - Food",Intercept,Intercept,Base
Christmas.Dummy,Seasonality,Seasonality,Base
January.Seasonality,Seasonality,Seasonality,Base
New Years.Dummy,Seasonality,Seasonality,Base
Thanksgiving.Dummy,Seasonality,Seasonality,Base
Valentines Day .Dummy,Seasonality,Seasonality,Base
BLUE DIAMOND GROWERS-SS ALM.Display Units - Drug,Trade,Trade,Marketing
BLUE DIAMOND GROWERS-SS ALM.Display Units - Drug (LAG),Trade,Trade,Marketing
BLUE DIAMOND GROWERS-SS ALM.Display Units - Food,Trade,Trade,Marketing
BLUE DIAMOND GROWERS-SS ALM.Display Units - Food (Lag),Trade,Trade,Marketing
BLUE DIAMOND GROWERS-SS ALM.Feature and Display Units - Food,Trade,Trade,Marketing
BLUE DIAMOND GROWERS-SS ALM.Feature and Display Units - Food (LAG),Trade,Trade,Marketing
BLUE DIAMOND GROWERS-SS ALM.Feature Units - Drug,Trade,Trade,Marketing
BLUE DIAMOND GROWERS-SS ALM.Feature Units - Food,Trade,Trade,Marketing
BLUE DIAMOND GROWERS-SS ALM.Feature Units - Food (LAG),Trade,Trade,Marketing
BLUE DIAMOND GROWERS-SS ALM.TPR Units - Drug,Trade,Trade,Marketing
BLUE DIAMOND GROWERS-SS ALM.TPR Units - Drug (LAG),Trade,Trade,Marketing
BLUE DIAMOND GROWERS-SS ALM.TPR Units - Food,Trade,Trade,Marketing
BLUE DIAMOND GROWERS-SS ALM.TPR Units - Food (LAG),Trade,Trade,Marketing
PACIFIC FOODS OF OREGON INC-SS ALM.Any Merch,Trade,Competitive Trade,Competition
PRIVATE LABEL-SS ALM.Any Merch,Trade,Competitive Trade,Competition
PRIVATE LABEL-SS COCO.Any Merch,Trade,Competitive Trade,Competition
PRIVATE LABEL-SS SOY.Any Merch,Trade,Competitive Trade,Competition
WHITEWAVE FOODS CO-SS ALM.Any Merch,Trade,Competitive Trade,Competition
WHITEWAVE FOODS CO-SS COCO.Any Merch,Trade,Competitive Trade,Competition
WHITEWAVE FOODS CO-SS SOY.Any Merch,Trade,Competitive Trade,Competition
ALMOND BREEZE.Non-Olympic PR Impressions,PR,PR,Marketing
ALMOND BREEZE.Olympics PR Impressions,PR,PR,Marketing
WHITEWAVE FOODS CO-RFG ALM.Base Price,Base Price,Competitive Base Price,Competition
ALMOND BREEZE.Non-Olympic Display Impressions,Digital,Display,Marketing
ALMOND BREEZE.Olympic Display Impressions,Digital,Display,Marketing
ALMOND BREEZE - CHILLED.Quad Week %ACV _v3 - All Other SKUs 1,Distribution,Distribution,Base
ALMOND BREEZE - CHILLED.Quad Week %ACV _v3 - All Other SKUs 2,Distribution,Distribution,Base
WHITEWAVE FOODS CO-RFG ALM.ACV Weighted Distv2,Distribution,Competitive Distribution,Competition
SNACKS - CANS.10/13/2013,In Store,FSIs,Marketing
ALMOND BREEZE.Print Impressions (No Curves),Print,Print,Marketing
SNACKS.Olympics PR Impressions,PR,PR,Marketing
SNACKS.PR Impressions excl. Olympics,PR,PR,Marketing
SNACKS.Display Impressions excl. Olympics,Digital,Display,Marketing
SNACKS.Olympic Display Impressions,Digital,Display,Marketing
BLUE DIAMOND GROWERS - BAG.ACV Weighted Distribution,Distribution,Competitive Distribution,Competition
SNACKS - CANS.1/25/2015,In Store,FSIs,Marketing
SNACKS - CANS.1/31/2016,In Store,FSIs,Marketing
SNACKS - CANS.10/11/2015,In Store,FSIs,Marketing
SNACKS - CANS.10/2/2016,In Store,FSIs,Marketing
SNACKS - CANS.11/23/2014,In Store,FSIs,Marketing
SNACKS - CANS.3/29/2015,In Store,FSIs,Marketing
SNACKS - CANS.4/24/2016,In Store,FSIs,Marketing
SNACKS - CANS.4/6/2014,In Store,FSIs,Marketing
SNACKS - CANS.5/11/2014,In Store,FSIs,Marketing
SNACKS - CANS.6/14/2015,In Store,FSIs,Marketing
SNACKS - CANS.7/24/2016,In Store,FSIs,Marketing
SNACKS - CANS.8/17/2014,In Store,FSIs,Marketing
SNACKS - CANS.9/22/2013,In Store,FSIs,Marketing
SNACK-CANS.Total News America Store Count,In Store,News America,Marketing
SNACKS.Non-Olympic OLV Impressions,Digital,Online Video,Marketing
SNACKS.Olympic Online Video Impressions,Digital,Online Video,Marketing
Cans.MULO Seasonality Index,Seasonality,Seasonality,Base
SNACKS - CANS.Feature & Display Volume - Food,Trade,Trade,Marketing
SNACKS - CANS.Feature & Display Volume - Food (LAG),Trade,Trade,Marketing
SNACKS.TV - Campaign - Football,TV,Snacks TV,Marketing
SNACKS.TV - Campaign - Winter Olympics,TV,Snacks TV,Marketing
PRIVATE LABEL - BAG.Base Price (USE),Base Price,Competitive Base Price,Competition
BLUE DIAMOND GROWERS - CAN.ACV Weighted Distribution,Distribution,Competitive Distribution,Competition
THE WONDERFUL CO - BAG.ACV Weighted Distribution,Distribution,Competitive Distribution,Competition
SNACKS - BAGS.1/25/2015,In Store,FSIs,Marketing
SNACKS - BAGS.1/26/2014,In Store,FSIs,Marketing
SNACKS - BAGS.1/31/2016,In Store,FSIs,Marketing
SNACKS - BAGS.10/11/2015,In Store,FSIs,Marketing
SNACKS - BAGS.11/23/2014,In Store,FSIs,Marketing
SNACKS - BAGS.3/29/2015,In Store,FSIs,Marketing
SNACKS - BAGS.4/24/2016,In Store,FSIs,Marketing
