Variable,Grouping 1,Grouping 2,Base vs Marketing
SNACKS - BAGS.5/11/2014,In Store,FSIs,Marketing
SNACKS - BAGS.6/14/2015,In Store,FSIs,Marketing
SNACKS - BAGS.7/24/2016,In Store,FSIs,Marketing
SNACKS - BAGS.9/22/2013,In Store,FSIs,Marketing
Bags.MULO Seasonality Index,Seasonality,Seasonality,Base
Early March.Dummy,Seasonality,Seasonality,Base
BLUE DIAMOND GROWERS - CAN.Any Merch Volume,Trade,Competitive Trade,Competition
ALMOND BREEZE.Print Impressions,Print,Print,Marketing
Chilled.MULO Seasonality Index,Seasonality,Seasonality,Base
SNACKS - CANS.Volume Price,Base Price,Base Price,Base
Snacks - Cans.%ACV 4 Week Lag,Distribution,Distribution,Base
"Blue Diamond.Market Dummy v2.Atlanta, GA - Walmart",Intercept,Intercept,Base
"Blue Diamond.Market Dummy v2.Baltimore, MD/Washington D.C. - Walmart",Intercept,Intercept,Base
"Blue Diamond.Market Dummy v2.Birmingham/Montgomery, AL - Walmart",Intercept,Intercept,Base
"Blue Diamond.Market Dummy v2.Boise, ID - Walmart",Intercept,Intercept,Base
"Blue Diamond.Market Dummy v2.Boston, MA - Walmart",Intercept,Intercept,Base
"Blue Diamond.Market Dummy v2.Buffalo/Rochester, NY - Walmart",Intercept,Intercept,Base
"Blue Diamond.Market Dummy v2.Charlotte, NC - Walmart",Intercept,Intercept,Base
"Blue Diamond.Market Dummy v2.Chicago, IL - Walmart",Intercept,Intercept,Base
"Blue Diamond.Market Dummy v2.Cincinnati/Dayton, OH - Walmart",Intercept,Intercept,Base
"Blue Diamond.Market Dummy v2.Cleveland, OH - Walmart",Intercept,Intercept,Base
"Blue Diamond.Market Dummy v2.Columbus, OH - Walmart",Intercept,Intercept,Base
"Blue Diamond.Market Dummy v2.Dallas/Ft. Worth, TX - Walmart",Intercept,Intercept,Base
"Blue Diamond.Market Dummy v2.Denver, CO - Walmart",Intercept,Intercept,Base
"Blue Diamond.Market Dummy v2.Des Moines, IA - Walmart",Intercept,Intercept,Base
"Blue Diamond.Market Dummy v2.Detroit, MI - Walmart",Intercept,Intercept,Base
"Blue Diamond.Market Dummy v2.Grand Rapids, MI - Walmart",Intercept,Intercept,Base
"Blue Diamond.Market Dummy v2.Green Bay, WI - Walmart",Intercept,Intercept,Base
"Blue Diamond.Market Dummy v2.Harrisburg/Scranton, PA - Walmart",Intercept,Intercept,Base
"Blue Diamond.Market Dummy v2.Hartford, CT/Springfield, MA - Walmart",Intercept,Intercept,Base
"Blue Diamond.Market Dummy v2.Houston, TX - Walmart",Intercept,Intercept,Base
"Blue Diamond.Market Dummy v2.Indianapolis, IN - Walmart",Intercept,Intercept,Base
"Blue Diamond.Market Dummy v2.Jacksonville, FL - Walmart",Intercept,Intercept,Base
"Blue Diamond.Market Dummy v2.Kansas City, KS - Walmart",Intercept,Intercept,Base
"Blue Diamond.Market Dummy v2.Knoxville, TN - Walmart",Intercept,Intercept,Base
"Blue Diamond.Market Dummy v2.Las Vegas, NV - Walmart",Intercept,Intercept,Base
"Blue Diamond.Market Dummy v2.Little Rock, AR - Walmart",Intercept,Intercept,Base
"Blue Diamond.Market Dummy v2.Los Angeles, CA - Walmart",Intercept,Intercept,Base
"Blue Diamond.Market Dummy v2.Louisville, KY - Walmart",Intercept,Intercept,Base
"Blue Diamond.Market Dummy v2.Memphis, TN - Walmart",Intercept,Intercept,Base
"Blue Diamond.Market Dummy v2.Miami/Ft. Lauderdale, FL - Walmart",Intercept,Intercept,Base
"Blue Diamond.Market Dummy v2.Milwaukee, WI - Walmart",Intercept,Intercept,Base
"Blue Diamond.Market Dummy v2.Minneapolis/St. Paul, MN - Walmart",Intercept,Intercept,Base
Blue Diamond.Market Dummy v2.Mississippi - Walmart,Intercept,Intercept,Base
"Blue Diamond.Market Dummy v2.Nashville, TN - Walmart",Intercept,Intercept,Base
Blue Diamond.Market Dummy v2.New England - Walmart,Intercept,Intercept,Base
"Blue Diamond.Market Dummy v2.New Orleans, LA/Mobile, AL - Walmart",Intercept,Intercept,Base
"Blue Diamond.Market Dummy v2.New York, NY - Walmart",Intercept,Intercept,Base
"Blue Diamond.Market Dummy v2.Oklahoma City, OK - Walmart",Intercept,Intercept,Base
"Blue Diamond.Market Dummy v2.Omaha, NE - Walmart",Intercept,Intercept,Base
"Blue Diamond.Market Dummy v2.Orlando, FL - Walmart",Intercept,Intercept,Base
"Blue Diamond.Market Dummy v2.Peoria/Springfield, IL - Walmart",Intercept,Intercept,Base
"Blue Diamond.Market Dummy v2.Philadelphia, PA - Walmart",Intercept,Intercept,Base
"Blue Diamond.Market Dummy v2.Phoenix/Tucson, AZ - Walmart",Intercept,Intercept,Base
"Blue Diamond.Market Dummy v2.Pittsburgh, PA - Walmart",Intercept,Intercept,Base
"Blue Diamond.Market Dummy v2.Portland, OR - Walmart",Intercept,Intercept,Base
"Blue Diamond.Market Dummy v2.Providence, RI - Walmart",Intercept,Intercept,Base
"Blue Diamond.Market Dummy v2.Raleigh/Greensboro, NC - Walmart",Intercept,Intercept,Base
"Blue Diamond.Market Dummy v2.Richmond/Norfolk, VA - Walmart",Intercept,Intercept,Base
"Blue Diamond.Market Dummy v2.Roanoke, VA - Walmart",Intercept,Intercept,Base
"Blue Diamond.Market Dummy v2.Sacramento, CA - Walmart",Intercept,Intercept,Base
"Blue Diamond.Market Dummy v2.Salt Lake City, UT - Walmart",Intercept,Intercept,Base
"Blue Diamond.Market Dummy v2.San Diego, CA - Walmart",Intercept,Intercept,Base
"Blue Diamond.Market Dummy v2.San Francisco/Oakland, CA - Walmart",Intercept,Intercept,Base
"Blue Diamond.Market Dummy v2.Seattle/Tacoma, WA - Walmart",Intercept,Intercept,Base
Blue Diamond.Market Dummy v2.South Carolina - Walmart,Intercept,Intercept,Base
"Blue Diamond.Market Dummy v2.Spokane, WA - Walmart",Intercept,Intercept,Base
"Blue Diamond.Market Dummy v2.St. Louis, MO - Walmart",Intercept,Intercept,Base
"Blue Diamond.Market Dummy v2.Syracuse, NY - Walmart",Intercept,Intercept,Base
"Blue Diamond.Market Dummy v2.Tampa/St. Petersburg, FL - Walmart",Intercept,Intercept,Base
"Blue Diamond.Market Dummy v2.Toledo, OH - Walmart",Intercept,Intercept,Base
"Blue Diamond.Market Dummy v2.Tulsa, OK - Walmart",Intercept,Intercept,Base
Blue Diamond.Market Dummy v2.West Texas/New Mexico - Walmart,Intercept,Intercept,Base
"Blue Diamond.Market Dummy v2.Wichita, KS - Walmart",Intercept,Intercept,Base
Cans.WMT Seasonality Index,Seasonality,Seasonality,Base
SNACKS.TV - Campaign - Get Your Good Going,TV,Snacks TV,Marketing
SNACKS.TV - Campaign - Summer Olympics,TV,Snacks TV,Marketing
BAG - Almonds.Volume Sales - MULO Channel Switching,Category,Category,Base
Price Change - Initial Impact.July-Aug 2016,Base Price,Base Price,Base
Price Change - Initial Impact.June 2016,Base Price,Base Price,Base
SNACKS - BAGS.Volume Price WMT,Base Price,Base Price,Base
SNACKS - BAGS.10/2/2016,In Store,FSIs,Marketing
SNACKS.Total Paid Search Impressions,Paid Search,Paid Search,Marketing
SNACKS.Print Impressions - FY 2015,Print,Print,Marketing
SNACKS.Print Impressions - FY 2016-2017,Print,Print,Marketing
2nd Week July.Dummy,Seasonality,Seasonality,Base
Pre-Christmas.Dummy,Seasonality,Seasonality,Base
ALMOND BREEZE - ASEPTIC.Volume Price,Base Price,Base Price,Base
Category - SS NON DAIRY BEVERAGES.Volume Sales - MULO Channel Switching,Category,Category,Base
Almond Breeze - Aspetic 32oz.%ACV 4 Week Lag,Distribution,Distribution,Base
Almond Breeze - Aspetic 64oz.%ACV 4 Week Lag,Distribution,Distribution,Base
ALMOND BREEZE - ASEPTIC.1/17/2016,In Store,FSIs,Marketing
ALMOND BREEZE - ASEPTIC.10/23/2016,In Store,FSIs,Marketing
ALMOND BREEZE - ASEPTIC.7/12/2015,In Store,FSIs,Marketing
ALMOND BREEZE - ASEPTIC.7/24/2016,In Store,FSIs,Marketing
Blue Diamond.Market Dummy v2.Total US - Walmart,Intercept,Intercept,Base
ALMOND BREEZE.09-Oct-2016 Dummy,Hurricane,Hurricane,Hurricane
Aseptic.WMT Seasonality Index,Seasonality,Seasonality,Base
SNACKS - CANS.1/26/2014,In Store,FSIs,Marketing
SNACKS - CANS.11/3/2013,In Store,FSIs,Marketing
ALMOND BREEZE.All Other Inmar Circulation,In Store,All Other Coupons,Marketing
Category - SS NON DAIRY BEVERAGES.Volume Sales,Category,Category,Base
ALMOND BREEZE.All Other Inmar Circulation,In Store,All Other Coupons,Marketing
ALMOND BREEZE - ASEPTIC.Quad Week %ACV _v3,Distribution,Distribution,Base
WHITEWAVE FOODS CO-SS ALM.ACV Weighted Dist_USE,Distribution,Competitive Distribution,Competition
SNACKS - BAGS.10/13/2013,In Store,FSIs,Marketing
SNACKS - BAGS.8/17/2014,In Store,FSIs,Marketing
2nd Week January.Dummy,Seasonality,Seasonality,Base
Christmas v2.Dummy,Seasonality,Seasonality,Base
Memorial Day.Dummy,Seasonality,Seasonality,Base
SS.MULO Seasonality Index,Seasonality,Seasonality,Base
ALMOND BREEZE.Social Media excl. Blog,Social Media,Social Media,Marketing
BLUE DIAMOND GROWERS-RFG ALM.Any Merch,Trade,Competitive Trade,Competition
ALMOND BREEZE.Competitive TV Silk Imp,TV,Competitive TV,Competition
ALMOND BREEZE.Competitive TV Silk Purealmond Imp,TV,Competitive TV,Competition
Snacks - Cans.%ACV 1 Week Lag,Distribution,Distribution,Base
FSI - $1.50 off two 10oz+ Bags/$1.00 off two 5oz Bags OR 6oz Cans.FSI Aggregate,In Store,FSIs,Marketing
CHRISTMAS 2015.CHRISTMAS 2015,Seasonality,Seasonality,Base
CHRISTMAS 2016.CHRISTMAS 2016,Seasonality,Seasonality,Base
NUTS CUSTOM - WALMART.CUSTOM,Seasonality,Seasonality,Base
SNACK NUTS (10/9/2016) - WALMART.HURRICANE,Seasonality,Seasonality,Base
Cans.MULO Seasonality Index - Drug,Seasonality,Seasonality,Base
Cans.MULO Seasonality Index - Food,Seasonality,Seasonality,Base
SNACKS.Total TV - Drug,TV,Snacks TV,Marketing
SNACKS.Total TV - Food,TV,Snacks TV,Marketing
ALMOND BREEZE - ASEPTIC.Quad Week %ACV _v3 - Drug,Distribution,Distribution,Base
PACIFIC FOODS OF OREGON INC-SS ALM.ACV Weighted Dist_USE,Distribution,Competitive Distribution,Competition
ALMOND BREEZE - ASEPTIC.8/17/2014,In Store,FSIs,Marketing
ALMOND BREEZE.Competitive TV Silk Creamy Cashew Imp,TV,Competitive TV,Competition
SNACKS - CANS.Drug Promo - 12/22/2013,Trade,Trade,Marketing
SNACKS - CANS.Drug Promo Overlay - 12/21/2014,Trade,Trade,Marketing
SNACKS - CANS.Drug Promo Overlay - 3/23/2014,Trade,Trade,Marketing
SNACKS - CANS.Drug Promo Overlay - 4/13/2014,Trade,Trade,Marketing
SNACKS - CANS.Drug Promo Overlay - 6/21/2015,Trade,Trade,Marketing
SNACKS - CANS.Drug Promo Overlay - 7/27/2014,Trade,Trade,Marketing
SNACKS - CANS.SW Promo Overlay - FOOD Lag,Trade,Trade,Marketing
SNACKS - CANS.SW Promo Overlays - Food,Trade,Trade,Marketing
Month of April.Seasonality,Seasonality,Seasonality,Base
Month of August.Seasonality,Seasonality,Seasonality,Base
Month of December.Seasonaltiy,Seasonality,Seasonality,Base
Month of July.Seasonality,Seasonality,Seasonality,Base
Month of June.Seasonality,Seasonality,Seasonality,Base
Month of May.Seasonality,Seasonality,Seasonality,Base
Month of November.Seasonality,Seasonality,Seasonality,Base
Month of October.Seasonality,Seasonality,Seasonality,Base
Month of September.Seasonality,Seasonality,Seasonality,Base
SNACKS.Social Media Impressions - excl. Blog,Social Media,Social Media,Marketing
SNACK NUTS.Competitive TV Total Wonderful Impressions,TV,Competitive TV,Competition
BDG-SS ALM.SW Storm Dummy - 2 Oct 2016,Hurricane,Hurricane,Hurricane
BDG_SS ALM.Salt Lake Food Overlay - 11 Jan 15,Trade,Trade,Marketing
BDG-SS ALM.Buf and Syr Markets Neg Overlay - Oct 16,Trade,Trade,Marketing
BDG-SS ALM.Double Peak Overlay Food - Sep & Dec 16,Trade,Trade,Marketing
BDG-SS ALM.Double Peak Overlay Food - Sep & Dec 16 v2,Trade,Trade,Marketing
Month of March.Seasonality,Seasonality,Seasonality,Base
SNACK NUTS.Competitive TV Total Planters Almonds,TV,Competitive TV,Competition
ALMOND BREEZE - ASEPTIC - WMT.Social Media Impressions - Total,Social Media,Social Media,Marketing
SNACKS.Olympics PR Impressions v2,PR,PR,Marketing
SNACKS - CANS.Any Merch - High Response Drug,Trade,Trade,Marketing
SNACKS - CANS.Boise Overlay Food - March 2016,Trade,Trade,Marketing
SNACKS - CANS.Market Residual Overlays,Trade,Trade,Marketing
SNACKS - CANS.SW Promo Overlay - Food New Orleans,Trade,Trade,Marketing
SNACKS - CANS.SW Promo Overlays - Birmingham Food,Trade,Trade,Marketing
SNACKS - CANS.SW Promo Overlays - Jacksonville Food,Trade,Trade,Marketing
SNACKS - BAGS.Average Price v2 - Food,Base Price,Base Price,Base
SNACKS - BAGS.Average Price v2.Average Price v2 - Drug,Base Price,Base Price,Base
SNACKS - BAGS.4/6/2014,In Store,FSIs,Marketing
SNACK-CANS.News America Carts Circulation,In Store,News America,Marketing
SNACKS.Olympics PR Impressions v2,PR,PR,Marketing
Bags.MULO Seasonality Index - Drug,Seasonality,Seasonality,Base
Bags.MULO Seasonality Index - Food,Seasonality,Seasonality,Base
SNACKS - BAGS.Food Promo Overlay 2/1/2015,Trade,Trade,Marketing
SNACKS - BAGS.Food Promo Overlay 3/6/2016,Trade,Trade,Marketing
SNACKS - BAGS.Food Promo Overlay 6/1/2014,Trade,Trade,Marketing
SNACKS - BAGS.Market Residual Overlays,Trade,Trade,Marketing
SNACKS - BAGS.Plains Drug Trade Overlay,Trade,Trade,Marketing
Wonderful-Snack Nuts - Aug 2016 onwards.Volume Sales,Category,Competition,Competition
THE WONDERFUL CO-SNACK NUTS.Any Merch,Trade,Competitive Trade,Competition
CHILLED.Circulation Wear Out,In Store,News America,Marketing
BREEZE.Olympics PR Impressions,PR,PR,Marketing
Month of February.Seasonality,Seasonality,Seasonality,Base
Month of January.Seasonality,Seasonality,Seasonality,Base
SNACKS - CANS.WMT Price for F+D,Base Price,Competitive Base Price,Competition
DIAMOND FOODS INC - BAG.ACV Weighted Distribution,Distribution,Competitive Distribution,Competition
DIAMOND FOODS INC - Cashews.ACV Weighted Distribution v2,Distribution,Competitive Distribution,Competition
PRIVATE LABEL - BAG.ACV Weighted Distribution,Distribution,Competitive Distribution,Competition
SNACKS - CANS.Quad Week %ACV _v3,Distribution,Distribution,Base
SNACKS.Circulation Wear Out (No Retention),In Store,News America,Marketing
SNACKS.Circulation Wear Out (Retention),In Store,News America,Marketing
SNACKS.Radio TRPs,Radio,Radio,Marketing
DIAMOND FOODS INC - CASHEWS HALVES AND PIECES.Any Merch (Trade),Trade,Competitive Trade,Competition
PEPSICO INC - PISTACHIOS.Any Merch (Trade),Trade,Competitive Trade,Competition
PRIVATE LABEL - PISTACHIOS.Any Merch (Trade),Trade,Competitive Trade,Competition
SNACKS - BAGS.WMT Price for F+D,Base Price,Competitive Base Price,Competition
SNACKS.Circulation Wear Out (No Retention),In Store,News America,Marketing
SNACKS.Circulation Wear Out (Retention),In Store,News America,Marketing
SNACKS.Radio TRPs,Radio,Radio,Marketing
SNACKS - BAGS.WMT Price for F+D,Base Price,Competitive Base Price,Competition
SNACKS.Circulation Wear Out (No Retention),In Store,News America,Marketing
SNACKS.Circulation Wear Out (Retention),In Store,News America,Marketing
SNACKS.Radio TRPs,Radio,Radio,Marketing
PRIVATE LABEL-SS ALM.Base Volume Sales,Category,Competition,Competition
ASEPTIC.Circulation Wear Out (No Retention),In Store,News America,Marketing
ASEPTIC.Circulation Wear Out (Retention),In Store,News America,Marketing
BREEZE.PR Impressions,PR,PR,Marketing
WHITEWAVE FOODS CO-RFG ALM.Volume Sales,Category,Competition,Competition
CHILLED.Circulation Wear Out (No Retention),In Store,News America,Marketing
CHILLED.Circulation Wear Out (Retention),In Store,News America,Marketing
California Drug.Sales Depletion,Trade,Trade,Marketing
Great Lakes Drug.Beginning Period,Trade,Trade,Marketing
AB COMPETITION.Print Silk Purealmond Impressions,Print,Competitive Print,Competition
SNACKS.PR Impressions v2,PR,PR,Marketing
BLUE DIAMOND GROWERS - BAG.Base Price (USE),Base Price,Base Price,Base
KRAFT HEINZ CO - CAN.Base Price (USE),Base Price,Competitive Base Price,Competition
SNACKS - CANS.Display %ACV - Discount - Drug,Trade,Trade,Marketing
SNACKS - CANS.Feature %ACV - Discount - Drug,Trade,Trade,Marketing
SNACKS - CANS.Feature %ACV - Discount - Food,Trade,Trade,Marketing
SNACKS - CANS.TPR %ACV - Discount - Drug,Trade,Trade,Marketing
SNACKS - CANS.TPR %ACV - Discount - Food,Trade,Trade,Marketing
BLUE DIAMOND GROWERS-RFG ALM.Display %ACV - Discount - Food,Trade,Trade,Marketing
BLUE DIAMOND GROWERS-RFG ALM.Feature %ACV - Discount -Food,Trade,Trade,Marketing
BLUE DIAMOND GROWERS-RFG ALM.Feature & Display %ACV - Discount - Drug,Trade,Trade,Marketing
BLUE DIAMOND GROWERS-RFG ALM.Feature & Display %ACV - Discount - Food,Trade,Trade,Marketing
BLUE DIAMOND GROWERS-RFG ALM.TPR %ACV - Discount - Drug,Trade,Trade,Marketing
BLUE DIAMOND GROWERS-RFG ALM.TPR %ACV - Discount - Food,Trade,Trade,Marketing
WHITEWAVE FOODS CO-SS COCO.Base Price,Base Price,Competitive Base Price,Competition
WHITEWAVE FOODS CO-SS AO NUT.ACV Weighted Distv2,Distribution,Competitive Distribution,Competition
WHITEWAVE FOODS CO-SS COCO.ACV Weighted Distv2,Distribution,Competitive Distribution,Competition
BLUE DIAMOND GROWERS-SS ALM.Display %ACV - Discount,Trade,Trade,Marketing
BLUE DIAMOND GROWERS-SS ALM.Feature %ACV - Discount,Trade,Trade,Marketing
BLUE DIAMOND GROWERS-SS ALM.Feature & Display %ACV - Discount,Trade,Trade,Marketing
BLUE DIAMOND GROWERS-SS ALM.TPR %ACV - Discount - Drug,Trade,Trade,Marketing
BLUE DIAMOND GROWERS-SS ALM.TPR %ACV - Discount - Food,Trade,Trade,Marketing
WMT Sales.1/1/2017 Dummy,Category,Category,Base
Snacks.News America Market Store Count,In Store,News America,Marketing
SNACKS - CANS.Feature & Display %ACV - Check,Trade,Trade,Marketing
Peg Bags.Base Price,Base Price,Competitive Base Price,Competition
DIAMOND FOODS INC - Pistachios.ACV Weighted Distribution v2,Distribution,Competitive Distribution,Competition
KRAFT HEINZ CO - Almonds.ACV Weighted Distribution v2,Distribution,Competitive Distribution,Competition
KRAFT HEINZ CO - Cashews.ACV Weighted Distribution v2,Distribution,Competitive Distribution,Competition
PRIVATE LABEL - Almonds.ACV Weighted Distribution v2,Distribution,Competitive Distribution,Competition
PRIVATE LABEL - Pistachios.ACV Weighted Distribution v2,Distribution,Competitive Distribution,Competition
Snacks.News America Market Store Count,In Store,News America,Marketing
SNACKS.Print Impressions (No Curves),Print,Print,Marketing
DIAMOND FOODS INC - MIXED NUTS-REGULAR(WITH PEANUTS).Any Merch (Trade),Trade,Competitive Trade,Competition
DIAMOND FOODS INC - PISTACHIOS.Any Merch (Trade),Trade,Competitive Trade,Competition
SEVERN PEANUT CO - MIXED NUTS-REGULAR(WITH PEANUTS).Any Merch (Trade),Trade,Competitive Trade,Competition
SNACKS - BAGS.Display %ACV - Discount - Drug,Trade,Trade,Marketing
SNACKS - BAGS.Display %ACV - Discount - Food,Trade,Trade,Marketing
SNACKS - BAGS.Feature %ACV - Discount - Food,Trade,Trade,Marketing
SNACKS - BAGS.Feature %ACV - Discoutn - Drug,Trade,Trade,Marketing
SNACKS - BAGS.Feature & Display %ACV - Discount - Drug,Trade,Trade,Marketing
SNACKS - BAGS.Feature & Display %ACV - Discount - Food,Trade,Trade,Marketing
SNACKS - BAGS.TPR %ACV - Discount - Drug,Trade,Trade,Marketing
SNACKS - BAGS.TPR %ACV - Discount - Food,Trade,Trade,Marketing
THE WONDERFUL CO - ALMONDS.Any Merch (Trade),Trade,Competitive Trade,Competition
Almond Breeze.Total TV,TV,Breeze TV,Marketing
ALMOND BREEZE.Catalina Event 2 Impressions,In Store,Catalina,Marketing
ALMOND BREEZE.Catalina Event 3 Impressions,In Store,Catalina,Marketing
Snacks.News America Market Store Count,In Store,News America,Marketing
ALMOND BREEZE.Catalina Event 2 Impressions,In Store,Catalina,Marketing
ALMOND BREEZE.Catalina Event 3 Impressions,In Store,Catalina,Marketing
Almond Breeze - Aseptic.News America Market Store Count,In Store,News America,Marketing
Aseptic.F+D Price for WMT,Base Price,Competitive Base Price,Competition
Display,Digital,Display,Marketing
Online Video,Digital,Online Video,Marketing
PR,PR,PR,Marketing
Print,Print,Print,Marketing
Social Media,Social Media,Social Media,Marketing
TV,TV,TV,Marketing
SNACKS.Self - Print Magazine Imps,Print,Print,Marketing
SNACKS - CANS.Display %ACV - Discount - Food,Trade,Trade,Marketing
SNACKS - CANS.Feature & Display %ACV - Discount - Drug,Trade,Trade,Marketing
SNACKS - CANS.Feature & Display %ACV - Discount - Food,Trade,Trade,Marketing
SNACKS.O The Oprah Magazine - Print Magazine Imps,Print,Print,Marketing
SNACKS.Sunset - Print Magazine Imps,Print,Print,Marketing
ALMOND BREEZE.TV - Total,TV,Snacks TV,Marketing
Radio,Radio,Radio,Marketing
ALMOND BREEZE.Catalina Event 4 Impressions,In Store,Catalina,Marketing
Almond Breeze - Chilled.News America Market Store Count,In Store,News America,Marketing
ALMOND BREEZE.Catalina Event 4 Impressions,In Store,Catalina,Marketing
WHITEWAVE FOODS CO-SS AO NUT.Any Merch,Trade,Competitive Trade,Competition
Paid Search,Paid Search,Paid Search,Marketing
BLUE DIAMOND GROWERS-SS ALM.Base Price - Food,Base Price,Base Price,Base
Digital Coupons,In Store,Digital Coupons,Marketing
Online Video,Digital,Online Video,Marketing
PR,PR,PR,Marketing
Print,Print,Print,Marketing
Trade,Trade,Trade,Marketing
FSIs,In Store,FSIs,Marketing
Radio,Radio,Radio,Marketing
Social Media,Social Media,Social Media,Marketing
News America,In Store,News America,Marketing
Display,Digital,Display,Marketing
Paid Search,Paid Search,Paid Search,Marketing
Catalina,In Store,Catalina,Marketing
Snacks TV,TV,Snacks TV,Marketing
Breeze TV,TV,Breeze TV,Marketing
SNACKS.Facebook Costs Variable,Social Media,Social Media,Marketing
SNACKS.Instagram Costs Variable,Social Media,Social Media,Marketing
SNACKS.Twitter Costs Variable,Social Media,Social Media,Marketing
SNACKS.Facebook Costs Variable,Social Media,Social Media,Marketing
BLUE DIAMOND GROWERS-RFG ALM.TPR %ACV - Discount,Trade,Trade,Marketing
SNACKS.Facebook Costs Variable,Social Media,Social Media,Marketing
SNACKS.Instagram Costs Variable,Social Media,Social Media,Marketing
SNACKS.Facebook Costs per Imp Variable,Social Media,Social Media,Marketing
SNACKS - CANS.Walmart May '16 Rollback,Trade,Trade,Marketing
SNACKS - BAGS.Walmart April'16 25oz Rollback,Trade,Trade,Marketing
SNACKS - BAGS.Walmart June '16 14oz Rollback,Trade,Trade,Marketing
Easter.Dummy,Seasonality,Seasonality,Base
July 4th.Dummy (WMT),Seasonality,Seasonality,Base
Memorial Day.Dummy (WMT),Seasonality,Seasonality,Base
Snacks - CANS.Rollback May-July,Trade,Trade,Marketing
Custom Var Holiday Down - WMT Breeze.2016 Holiday Down,Seasonality,Seasonality,Base
ASEPTIC.Rollback Feb-April '16,Trade,Trade,Marketing
ALMOND BREEZE - ANY ALMOND BREEZE.Digital Coupon Circulation,In Store,Digital Coupons,Marketing
ALMOND BREEZE - CHILLED ONLY.Digital Coupon Circulation,In Store,Digital Coupons,Marketing
SNACKS - BAGS.Base Price (Volume) v4,Base Price,Base Price,Base
SNACKS - CANS & BAGS.Digital Coupon Circulation,In Store,Digital Coupons,Marketing
SNACKS - CANS ONLY.Digital Coupon Circulation,In Store,Digital Coupons,Marketing
Snacks.Branded,Paid Search,Paid Search,Marketing
Snacks.Competitive,Paid Search,Paid Search,Competition
Snacks.General,Paid Search,Paid Search,Marketing
SNACKS - BAGS.Any Merch Volume v2,Trade,Trade,Marketing
ALMOND BREEZE - ASEPTIC ONLY.Digital Coupon circulation,In Store,Digital Coupons,Marketing
Almond Breeze.Branded,Paid Search,Paid Search,Marketing
Almond Breeze.Competitive,Paid Search,Paid Search,Competition
SNACKS - NEW TOTAL.Digital Coupon Circulation ,In Store,Digital Coupons,Marketing
ALMOND BREEZE - NO CHILLED.Digital Coupon Circulation,In Store,Digital Coupons,Marketing
SNACKS - NEW TOTAL.Digital Coupon Circulation ,In Store,Digital Coupons,Marketing
